Region,Year,Emissions
East Asia & Pacific,2002,9294419.767
East Asia & Pacific,2003,9944459.992
East Asia & Pacific,2004,10873920.28
East Asia & Pacific,2005,11632559.82
East Asia & Pacific,2006,12387600.15
East Asia & Pacific,2007,13099969.78
East Asia & Pacific,2008,13309219.7
East Asia & Pacific,2009,13856949.98
East Asia & Pacific,2010,14858819.76
East Asia & Pacific,2011,15988490.45
East Asia & Pacific,2012,16370249.95
East Asia & Pacific,2013,16806330.21
East Asia & Pacific,2014,16923030.22
East Asia & Pacific,2015,16858459.69
East Asia & Pacific,2016,16866590.1
East Asia & Pacific,2017,17271069.59
East Asia & Pacific,2018,17817679.9
East Asia & Pacific,2019,18110159.83
Europe & Central Asia,2002,8519119.966
Europe & Central Asia,2003,8755359.909
Europe & Central Asia,2004,8764540.016
Europe & Central Asia,2005,8767269.854
Europe & Central Asia,2006,8880700.017
Europe & Central Asia,2007,8895979.971
Europe & Central Asia,2008,8843049.941
Europe & Central Asia,2009,8244330.081
Europe & Central Asia,2010,8510860.009
Europe & Central Asia,2011,8531760.104
Europe & Central Asia,2012,8469950.068
Europe & Central Asia,2013,8346249.825
Europe & Central Asia,2014,8068450.078
Europe & Central Asia,2015,8036450.018
Europe & Central Asia,2016,8080290.04
Europe & Central Asia,2017,8160960.008
Europe & Central Asia,2018,8186909.966
Europe & Central Asia,2019,8065980.125
Latin America & Caribbean,2002,2608320.068
Latin America & Caribbean,2003,2669840.016
Latin America & Caribbean,2004,2778119.986
Latin America & Caribbean,2005,2845369.971
Latin America & Caribbean,2006,2898630.021
Latin America & Caribbean,2007,2969470.011
Latin America & Caribbean,2008,3017770.014
Latin America & Caribbean,2009,2978419.999
Latin America & Caribbean,2010,3113909.944
Latin America & Caribbean,2011,3187029.986
Latin America & Caribbean,2012,3287879.926
Latin America & Caribbean,2013,3335359.94
Latin America & Caribbean,2014,3365919.952
Latin America & Caribbean,2015,3361890.019
Latin America & Caribbean,2016,3331139.952
Latin America & Caribbean,2017,3309290.043
Latin America & Caribbean,2018,3247209.969
Latin America & Caribbean,2019,3237159.99
Middle East & North Africa,2002,2210340.005
Middle East & North Africa,2003,2294269.998
Middle East & North Africa,2004,2410610.029
Middle East & North Africa,2005,2543059.981
Middle East & North Africa,2006,2669429.961
Middle East & North Africa,2007,2767100.027
Middle East & North Africa,2008,2900500.03
Middle East & North Africa,2009,2962639.978
Middle East & North Africa,2010,3081270.01
Middle East & North Africa,2011,3115540.002
Middle East & North Africa,2012,3294089.995
Middle East & North Africa,2013,3331339.981
Middle East & North Africa,2014,3414639.984
Middle East & North Africa,2015,3477070.051
Middle East & North Africa,2016,3568839.989
Middle East & North Africa,2017,3654999.993
Middle East & North Africa,2018,3671149.996
Middle East & North Africa,2019,3718720.014
North America,2002,7240400.146
North America,2003,7324759.888
North America,2004,7408289.795
North America,2005,7443379.822
North America,2006,7340039.795
North America,2007,7480260.193
North America,2008,7272040.1
North America,2009,6811539.917
North America,2010,7097109.863
North America,2011,6916100.098
North America,2012,6697770.142
North America,2013,6850840.149
North America,2014,6903750.183
North America,2015,6786640.137
North America,2016,6678950.195
North America,2017,6639769.775
North America,2018,6859619.873
North America,2019,6738139.954
South Asia,2002,2169890.024
South Asia,2003,2224239.987
South Asia,2004,2331589.987
South Asia,2005,2422330.037
South Asia,2006,2543750.057
South Asia,2007,2709560.037
South Asia,2008,2825550.02
South Asia,2009,2986130.047
South Asia,2010,3105539.991
South Asia,2011,3238429.879
South Asia,2012,3398800.094
South Asia,2013,3478690.091
South Asia,2014,3682339.953
South Asia,2015,3730910.039
South Asia,2016,3803610.077
South Asia,2017,3978499.94
South Asia,2018,4129759.907
South Asia,2019,4156440.122
Sub-Saharan Africa,2002,1593789.982
Sub-Saharan Africa,2003,1667500.002
Sub-Saharan Africa,2004,1716289.983
Sub-Saharan Africa,2005,1766230.014
Sub-Saharan Africa,2006,1760769.998
Sub-Saharan Africa,2007,1817819.995
Sub-Saharan Africa,2008,1890890.026
Sub-Saharan Africa,2009,1864590.004
Sub-Saharan Africa,2010,1963590.015
Sub-Saharan Africa,2011,1986760.033
Sub-Saharan Africa,2012,2010270.01
Sub-Saharan Africa,2013,2061389.966
Sub-Saharan Africa,2014,2109329.986
Sub-Saharan Africa,2015,2118020
Sub-Saharan Africa,2016,2167420.023
Sub-Saharan Africa,2017,2191950.028
Sub-Saharan Africa,2018,2220470.027
Sub-Saharan Africa,2019,2261020.002
