Series Name,Series Code,Country Name,Country Code,GDP Per Capita
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,516.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5332.16
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3306.86
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12844.90
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37416.70
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1631.43
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13992.74
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8585.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4266.02
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,23384.30
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51680.32
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48588.66
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4229.91
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,24665.10
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20406.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2270.35
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16318.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6555.43
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,45189.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3987.80
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1291.04
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,107706.04
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3000.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3137.99
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6082.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6348.83
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,6814.88
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27442.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10079.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,857.93
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,233.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3064.27
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1547.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1537.13
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43258.26
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,85346.76
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,481.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,652.35
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13220.57
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10408.67
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5312.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1407.41
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,543.95
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1899.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12201.93
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2325.72
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14132.49
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9477.85
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,16109.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,27681.57
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,22933.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61063.32
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3219.70
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7003.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,7268.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5627.77
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3569.21
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3798.64
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7198.34
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,23054.36
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3434.72
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,936.45
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,66320.68
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5102.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49160.84
