Region,Year,Subscriptions
East Asia & Pacific,2002,20.17777152
East Asia & Pacific,2003,24.5600055
East Asia & Pacific,2004,29.3985605
East Asia & Pacific,2005,33.83504758
East Asia & Pacific,2006,39.21674049
East Asia & Pacific,2007,47.73917799
East Asia & Pacific,2008,56.76871048
East Asia & Pacific,2009,64.59198508
East Asia & Pacific,2010,73.36464582
East Asia & Pacific,2011,82.88085088
East Asia & Pacific,2012,91.22488297
East Asia & Pacific,2013,97.85111732
East Asia & Pacific,2014,102.9417831
East Asia & Pacific,2015,103.6301573
East Asia & Pacific,2016,109.7705476
East Asia & Pacific,2017,115.9160593
East Asia & Pacific,2018,121.8982502
East Asia & Pacific,2019,128.0191679
Europe & Central Asia,2002,47.77818056
Europe & Central Asia,2003,55.2609338
Europe & Central Asia,2004,66.342168
Europe & Central Asia,2005,81.26337232
Europe & Central Asia,2006,94.82773105
Europe & Central Asia,2007,106.6048916
Europe & Central Asia,2008,115.3398759
Europe & Central Asia,2009,119.7312226
Europe & Central Asia,2010,120.5264487
Europe & Central Asia,2011,120.6093743
Europe & Central Asia,2012,122.7063345
Europe & Central Asia,2013,125.1415666
Europe & Central Asia,2014,124.9460882
Europe & Central Asia,2015,124.3710228
Europe & Central Asia,2016,124.1611486
Europe & Central Asia,2017,124.3263282
Europe & Central Asia,2018,123.6504775
Europe & Central Asia,2019,125.8938366
Latin America & Caribbean,2002,18.98100864
Latin America & Caribbean,2003,23.29235256
Latin America & Caribbean,2004,31.82649008
Latin America & Caribbean,2005,43.28533127
Latin America & Caribbean,2006,54.4512905
Latin America & Caribbean,2007,67.13374643
Latin America & Caribbean,2008,79.90037096
Latin America & Caribbean,2009,88.15746727
Latin America & Caribbean,2010,97.15996975
Latin America & Caribbean,2011,105.8080264
Latin America & Caribbean,2012,110.3821551
Latin America & Caribbean,2013,116.0146676
Latin America & Caribbean,2014,115.5720082
Latin America & Caribbean,2015,111.4988464
Latin America & Caribbean,2016,109.8810678
Latin America & Caribbean,2017,106.4822384
Latin America & Caribbean,2018,104.8255087
Latin America & Caribbean,2019,102.5086876
Middle East & North Africa,2002,10.26484214
Middle East & North Africa,2003,13.31367244
Middle East & North Africa,2004,18.42853185
Middle East & North Africa,2005,28.35411975
Middle East & North Africa,2006,40.59008961
Middle East & North Africa,2007,56.16396301
Middle East & North Africa,2008,68.04432493
Middle East & North Africa,2009,81.77297894
Middle East & North Africa,2010,91.77876516
Middle East & North Africa,2011,98.32540631
Middle East & North Africa,2012,103.3221421
Middle East & North Africa,2013,108.7654998
Middle East & North Africa,2014,109.2673234
Middle East & North Africa,2015,109.5885638
Middle East & North Africa,2016,108.5206058
Middle East & North Africa,2017,107.5444544
Middle East & North Africa,2018,106.0029128
Middle East & North Africa,2019,110.805425
North America,2002,48.25456424
North America,2003,54.13331735
North America,2004,61.64886497
North America,2005,67.46732149
North America,2006,75.19298424
North America,2007,80.82795986
North America,2008,84.14374204
North America,2009,87.66920024
North America,2010,90.62047297
North America,2011,93.67878096
North America,2012,95.30652913
North America,2013,96.4154253
North America,2014,108.4499321
North America,2015,115.4471037
North America,2016,118.7373168
North America,2017,119.3097481
North America,2018,104.7456226
North America,2019,106.4360174
South Asia,2002,1.164093035
South Asia,2003,2.669940676
South Asia,2004,4.223227223
South Asia,2005,7.69918192
South Asia,2006,14.84380975
South Asia,2007,22.14473664
South Asia,2008,31.62165451
South Asia,2009,43.57433191
South Asia,2010,58.39414438
South Asia,2011,68.22691437
South Asia,2012,67.37277495
South Asia,2013,69.77494808
South Asia,2014,73.59616623
South Asia,2015,76.07784365
South Asia,2016,83.64235764
South Asia,2017,86.70407676
South Asia,2018,87.36313965
South Asia,2019,85.74327424
Sub-Saharan Africa,2002,3.580002583
Sub-Saharan Africa,2003,4.958577887
Sub-Saharan Africa,2004,7.390509243
Sub-Saharan Africa,2005,11.99666823
Sub-Saharan Africa,2006,17.69083429
Sub-Saharan Africa,2007,23.07678436
Sub-Saharan Africa,2008,31.73168735
Sub-Saharan Africa,2009,37.45730896
Sub-Saharan Africa,2010,44.64223864
Sub-Saharan Africa,2011,52.82190037
Sub-Saharan Africa,2012,59.32558497
Sub-Saharan Africa,2013,65.54105862
Sub-Saharan Africa,2014,70.27969592
Sub-Saharan Africa,2015,75.54317109
Sub-Saharan Africa,2016,73.58199252
Sub-Saharan Africa,2017,72.86779199
Sub-Saharan Africa,2018,82.19763838
Sub-Saharan Africa,2019,79.65147852
