Series Name,Series Code,Country Name,Country Code,GDP per Capita
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,516.7478708
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5332.160475
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3306.858208
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12844.90099
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37416.69772
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1631.431691
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13992.74448
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8585.694742
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4266.018074
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,23384.29879
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51680.31652
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48588.65938
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4229.910649
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,24665.09683
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20406.50233
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2270.347535
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16318.74811
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6555.426818
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,45189.3669
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3987.796596
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1291.040972
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,107706.0398
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3000.777986
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3137.989617
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6082.36673
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6348.832318
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,6814.875632
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27442.95383
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10079.20338
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,857.9327297
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,233.8375103
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3064.272388
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1547.511388
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1537.130218
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43258.26387
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,85346.76195
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,481.7462966
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,652.3492096
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13220.57076
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10408.66976
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5312.198556
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1407.40927
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,543.9503925
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1899.778237
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12201.92603
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2325.723705
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14132.48656
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9477.852873
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,16109.86167
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,27681.56641
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,22933.49959
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61063.31643
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3219.701128
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7003.859021
